site,yr,plotid,block,plot,meadow,snow,snow_notes,trt,trt2,ForbHits,GrassHits,NonVegHits,ShrubHits,TotalHits,PlantCov,VegHits,Forb_rel,Grass_rel,F2G_ratio,Geum_hits,Geum_rel,S,H,Forb_g_m2,Grass_g_m2,Total_g_m2
nutnet,2013,B1_1,B1,1,dry,no snow,never affected,C,C,77,55,21,0,153,79,132,58.333333333333336,41.66666666666667,1.4,17,12.878787878787879,28,2.682935501284935,84.32,69.37,153.69
nutnet,2013,B1_2,B1,2,dry,no snow,never affected,K,C,66,71,14,0,151,86,137,48.175182481751825,51.82481751824818,0.9295774647887324,0,0,26,2.001097970950045,20.83,105.96,126.78999999999999
nutnet,2013,B1_3,B1,3,dry,no snow,never affected,P,P,101,27,16,0,144,84,128,78.90625,21.09375,3.740740740740741,25,19.53125,29,2.724461260793892,83.03,80.75,163.78
nutnet,2013,B1_4,B1,4,dry,no snow,never affected,N,N,124,66,3,0,193,97,190,65.26315789473685,34.73684210526316,1.878787878787879,10,5.263157894736842,35,3.148523489752758,96.81,158.27,255.08
nutnet,2013,B1_5,B1,5,dry,no snow,never affected,P+K,P,87,63,15,0,165,85,150,57.99999999999999,42,1.380952380952381,1,0.6666666666666667,33,2.8629741229002965,127.64,37.12,164.76
nutnet,2013,B1_6,B1,6,dry,no snow,never affected,N+K,N,78,100,1,0,179,99,178,43.82022471910113,56.17977528089888,0.78,0,0,29,2.407980853374692,137.5,64.28,201.78
nutnet,2013,B1_7,B1,7,dry,no snow,never affected,N+P,N+P,147,90,0,0,237,100,237,62.0253164556962,37.9746835443038,1.6333333333333333,2,0.8438818565400843,35,3.0518538476843564,213.59,210.41,424
nutnet,2013,B1_8,B1,8,dry,no snow,never affected,N+P+K,N+P,110,124,0,0,234,100,234,47.008547008547005,52.991452991452995,0.8870967741935484,15,6.41025641025641,29,2.5931458432200913,126.42,203.29,329.71
nutnet,2013,B1_9,B1,9,dry,no snow,never affected,C,C,137,70,10,0,217,90,207,66.18357487922705,33.81642512077295,1.957142857142857,25,12.077294685990339,29,2.883282647327692,73.36,102.21,175.57
nutnet,2013,B1_10,B1,10,dry,no snow,never affected,N+P+K,N+P,157,71,2,0,230,98,228,68.85964912280701,31.140350877192986,2.211267605633803,7,3.070175438596491,39,3.188955895489293,112.98,159.14,272.12
nutnet,2013,B2_1,B2,1,dry,no snow,never affected,C,C,72,65,10,0,147,90,137,52.55474452554745,47.44525547445255,1.1076923076923078,21,15.328467153284672,23,2.2287261570625083,40.3,84.26,124.56
nutnet,2013,B2_2,B2,2,dry,no snow,never affected,K,C,63,91,10,0,164,90,154,40.909090909090914,59.09090909090909,0.6923076923076923,15,9.740259740259742,19,2.138909008035169,127.85,79.6,207.45
nutnet,2013,B2_3,B2,3,dry,no snow,never affected,P,P,82,84,10,0,176,90,166,49.39759036144578,50.602409638554214,0.9761904761904762,11,6.626506024096386,24,2.2716419282438993,63.82,59.18,123
nutnet,2013,B2_4,B2,4,dry,no snow,never affected,N,N,116,72,3,0,191,97,188,61.702127659574465,38.297872340425535,1.6111111111111112,25,13.297872340425531,25,2.578406834235956,93.41,142.05,235.46
nutnet,2013,B2_5,B2,5,dry,no snow,never affected,P+K,P,64,59,11,0,134,89,123,52.03252032520326,47.96747967479675,1.0847457627118644,1,0.8130081300813009,20,2.0958115162231827,85.66,77.36,163.01999999999998
nutnet,2013,B2_6,B2,6,dry,no snow,never affected,N+K,N,68,97,6,0,171,94,165,41.21212121212121,58.78787878787879,0.7010309278350515,5,3.0303030303030303,24,2.3537331039985623,86.31,101.1,187.41
nutnet,2013,B2_7,B2,7,dry,no snow,never affected,N+P,N+P,74,92,2,0,168,98,166,44.57831325301205,55.42168674698795,0.8043478260869565,4,2.4096385542168677,23,2.4393322556855597,39.68,309.91,349.59000000000003
nutnet,2013,B2_8,B2,8,dry,no snow,never affected,N+P+K,N+P,124,91,2,0,217,98,215,57.674418604651166,42.32558139534884,1.3626373626373627,15,6.976744186046512,24,2.609112932630544,175.72,170.28,346
nutnet,2013,B2_9,B2,9,dry,no snow,never affected,C,C,44,79,13,0,136,87,123,35.77235772357724,64.22764227642277,0.5569620253164557,9,7.317073170731707,18,1.812244298292086,44.11,167.02,211.13
nutnet,2013,B2_10,B2,10,dry,no snow,never affected,N+P+K,N+P,95,83,4,0,182,96,178,53.37078651685393,46.62921348314607,1.144578313253012,12,6.741573033707865,20,2.486749930447584,101.34,185.07,286.40999999999997
nutnet,2013,B3_1,B3,1,dry,no snow,never affected,C,C,40,66,14,0,120,86,106,37.735849056603776,62.264150943396224,0.6060606060606061,2,1.8867924528301887,21,2.028021216938108,23.7,44.96,68.66
nutnet,2013,B3_2,B3,2,dry,no snow,never affected,K,C,30,83,12,0,125,88,113,26.548672566371685,73.45132743362832,0.3614457831325301,0,0,17,1.8045769354593173,32.95,76.11,109.06
nutnet,2013,B3_3,B3,3,dry,no snow,never affected,P,P,53,72,16,0,141,84,125,42.4,57.599999999999994,0.7361111111111112,1,0.8,23,2.303594175400097,30.38,73.8,104.17999999999999
nutnet,2013,B3_4,B3,4,dry,no snow,never affected,N,N,47,118,6,0,171,94,165,28.484848484848484,71.51515151515152,0.3983050847457627,0,0,20,1.9180274590161799,31.45,150.75,182.2
nutnet,2013,B3_5,B3,5,dry,no snow,never affected,P+K,P,59,101,13,0,173,87,160,36.875,63.125,0.5841584158415841,11,6.875000000000001,18,2.1994071880535415,79.76,107.59,187.35000000000002
nutnet,2013,B3_6,B3,6,dry,no snow,never affected,N+K,N,49,84,10,0,143,90,133,36.84210526315789,63.1578947368421,0.5833333333333334,0,0,19,2.127273711788144,35.82,112.29,148.11
nutnet,2013,B3_7,B3,7,dry,no snow,never affected,N+P,N+P,157,130,1,0,288,99,287,54.70383275261324,45.29616724738676,1.2076923076923076,43,14.982578397212542,25,2.7251775400136498,123.45,147.91,271.36
nutnet,2013,B3_8,B3,8,dry,no snow,never affected,N+P+K,N+P,100,88,3,0,191,97,188,53.191489361702125,46.808510638297875,1.1363636363636365,11,5.851063829787234,25,2.7865309952099624,117.72,103.18,220.9
nutnet,2013,B3_9,B3,9,dry,no snow,never affected,C,C,76,60,13,0,149,87,136,55.88235294117647,44.11764705882353,1.2666666666666666,3,2.2058823529411766,22,2.3939539634109743,42.44,67.53,109.97
nutnet,2013,B3_10,B3,10,dry,no snow,never affected,N+P+K,N+P,83,101,4,0,188,96,184,45.108695652173914,54.891304347826086,0.8217821782178217,1,0.5434782608695652,20,2.579571010075005,97.53,205.15,302.68
nutnet,2013,B4_1,B4,1,dry,no snow,never affected,C,C,71,48,23,0,142,77,119,59.66386554621849,40.33613445378151,1.4791666666666667,5,4.201680672268908,21,2.420075198267023,68.92,55.11,124.03
nutnet,2013,B4_2,B4,2,dry,no snow,never affected,K,C,51,87,7,0,145,93,138,36.95652173913043,63.04347826086957,0.5862068965517241,3,2.1739130434782608,24,2.1556918502182913,74.5,67.57,142.07
nutnet,2013,B4_3,B4,3,dry,no snow,never affected,P,P,75,69,5,0,149,95,144,52.083333333333336,47.91666666666667,1.0869565217391304,17,11.805555555555555,21,2.545251811815076,105.22,68.26,173.48000000000002
nutnet,2013,B4_4,B4,4,dry,no snow,never affected,N,N,64,77,6,0,147,94,141,45.39007092198582,54.60992907801418,0.8311688311688312,5,3.546099290780142,26,2.354440774749957,51.2,115.77,166.97
nutnet,2013,B4_5,B4,5,dry,no snow,never affected,P+K,P,87,56,11,0,154,89,143,60.83916083916085,39.16083916083916,1.5535714285714286,17,11.888111888111888,23,2.5010614045229715,30.25,93.7,123.95
nutnet,2013,B4_6,B4,6,dry,no snow,never affected,N+K,N,98,88,7,0,193,93,186,52.68817204301075,47.31182795698925,1.1136363636363635,3,1.6129032258064515,24,2.5205059335897744,114.8,68.2,183
nutnet,2013,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,130,100,4,0,234,96,230,56.52173913043478,43.47826086956522,1.3,1,0.43478260869565216,26,2.7845375599424558,131.36,181.55,312.91
nutnet,2013,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,107,92,3,0,202,97,199,53.768844221105525,46.231155778894475,1.1630434782608696,0,0,29,2.8182040629268,189.2,375.3,564.5
nutnet,2013,B4_9,B4,9,dry,no snow,never affected,C,C,48,67,14,0,129,86,115,41.73913043478261,58.26086956521739,0.7164179104477612,0,0,23,2.285916724505432,37.68,59.39,97.07
nutnet,2013,B4_10,B4,10,dry,no snow,never affected,N+P+K,N+P,131,97,1,0,229,99,228,57.45614035087719,42.54385964912281,1.3505154639175259,0,0,30,2.90133257638347,169.12,127.64,296.76
nutnet,2017,B1_1,B1,1,dry,no snow,never affected,C,C,93,27,17,0,137,83,120,77.5,22.5,3.4444444444444446,17,14.166666666666666,28,2.745638244798427,NA,NA,NA
nutnet,2017,B1_2,B1,2,dry,no snow,never affected,K,C,39,61,22,0,122,78,100,39,61,0.639344262295082,1,1,18,2.0111988687567237,NA,NA,NA
nutnet,2017,B1_4,B1,4,dry,no snow,never affected,N,N,82,69,6,0,157,94,151,54.3046357615894,45.6953642384106,1.1884057971014492,31,20.52980132450331,24,2.2564040344802376,NA,NA,NA
nutnet,2017,B1_7,B1,7,dry,no snow,never affected,N+P,N+P,74,83,7,0,164,93,157,47.13375796178344,52.86624203821656,0.891566265060241,3,1.910828025477707,22,2.458717808059807,NA,NA,NA
nutnet,2017,B1_8,B1,8,dry,no snow,never affected,N+P+K,N+P,107,67,1,0,175,99,174,61.49425287356321,38.50574712643678,1.5970149253731343,10,5.747126436781609,26,2.659641228250535,NA,NA,NA
nutnet,2017,B1_9,B1,9,dry,no snow,never affected,C,C,110,76,6,0,192,94,186,59.13978494623656,40.86021505376344,1.4473684210526316,35,18.817204301075268,31,2.6024175855020646,NA,NA,NA
nutnet,2017,B1_10,B1,10,dry,no snow,never affected,N+P+K,N+P,163,37,8,0,208,92,200,81.5,18.5,4.405405405405405,5,2.5,29,2.94367188260383,NA,NA,NA
nutnet,2017,B2_1,B2,1,dry,no snow,never affected,C,C,44,73,19,0,136,81,117,37.60683760683761,62.39316239316239,0.6027397260273972,6,5.128205128205128,21,1.9779467894869656,NA,NA,NA
nutnet,2017,B2_2,B2,2,dry,no snow,never affected,K,C,70,56,12,0,138,88,126,55.55555555555556,44.44444444444444,1.25,21,16.666666666666664,17,2.2879419527455203,NA,NA,NA
nutnet,2017,B2_4,B2,4,dry,no snow,never affected,N,N,62,40,17,0,119,83,102,60.78431372549019,39.21568627450981,1.55,21,20.588235294117645,20,2.3093449296066177,NA,NA,NA
nutnet,2017,B2_7,B2,7,dry,no snow,never affected,N+P,N+P,66,63,14,0,143,86,129,51.162790697674424,48.837209302325576,1.0476190476190477,0,0,17,2.4091450040441584,NA,NA,NA
nutnet,2017,B2_8,B2,8,dry,no snow,never affected,N+P+K,N+P,102,54,8,0,164,92,156,65.38461538461539,34.61538461538461,1.8888888888888888,19,12.179487179487179,19,2.6219648921521257,NA,NA,NA
nutnet,2017,B2_9,B2,9,dry,no snow,never affected,C,C,43,81,20,0,144,80,124,34.67741935483871,65.32258064516128,0.5308641975308642,15,12.096774193548388,17,1.8149923110302566,NA,NA,NA
nutnet,2017,B2_10,B2,10,dry,no snow,never affected,N+P+K,N+P,79,57,18,0,154,82,136,58.08823529411765,41.911764705882355,1.3859649122807018,8,5.88235294117647,19,2.41707357462503,NA,NA,NA
nutnet,2017,B3_1,B3,1,dry,no snow,never affected,C,C,34,40,40,0,114,60,74,45.94594594594595,54.054054054054056,0.85,0,0,17,2.1062023123716185,NA,NA,NA
nutnet,2017,B3_2,B3,2,dry,no snow,never affected,K,C,24,64,27,0,115,73,88,27.27272727272727,72.72727272727273,0.375,0,0,20,1.8734599557171696,NA,NA,NA
nutnet,2017,B3_4,B3,4,dry,no snow,never affected,N,N,10,106,8,0,124,92,116,8.620689655172415,91.37931034482759,0.09433962264150944,0,0,12,1.089730920975667,NA,NA,NA
nutnet,2017,B3_7,B3,7,dry,no snow,never affected,N+P,N+P,108,22,2,0,132,98,130,83.07692307692308,16.923076923076923,4.909090909090909,67,51.53846153846153,13,1.8108507191372984,NA,NA,NA
nutnet,2017,B3_8,B3,8,dry,no snow,never affected,N+P+K,N+P,81,26,30,0,137,70,107,75.70093457943925,24.299065420560748,3.1153846153846154,23,21.49532710280374,18,2.4794397817519824,NA,NA,NA
nutnet,2017,B3_9,B3,9,dry,no snow,never affected,C,C,67,34,19,0,120,81,101,66.33663366336634,33.663366336633665,1.9705882352941178,12,11.881188118811881,21,2.446329581082077,NA,NA,NA
nutnet,2017,B3_10,B3,10,dry,no snow,never affected,N+P+K,N+P,80,40,17,0,137,83,120,66.66666666666666,33.33333333333333,2,16,13.333333333333334,18,2.598179686560782,NA,NA,NA
nutnet,2017,B4_1,B4,1,dry,no snow,never affected,C,C,84,38,84,0,206,16,122,68.85245901639344,31.147540983606557,2.210526315789474,20,16.39344262295082,15,2.2378387155199433,NA,NA,NA
nutnet,2017,B4_2,B4,2,dry,no snow,never affected,K,C,38,34,37,0,109,63,72,52.77777777777778,47.22222222222222,1.1176470588235294,8,11.11111111111111,19,2.3118506710321265,NA,NA,NA
nutnet,2017,B4_6,B4,6,dry,no snow,never affected,N+K,N,36,75,16,0,127,84,111,32.432432432432435,67.56756756756756,0.48,3,2.7027027027027026,18,1.7754502724891548,NA,NA,NA
nutnet,2017,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,54,33,28,0,115,72,87,62.06896551724138,37.93103448275862,1.6363636363636365,0,0,21,2.64401190803596,NA,NA,NA
nutnet,2017,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,68,53,13,0,134,87,121,56.19834710743802,43.80165289256198,1.2830188679245282,3,2.479338842975207,22,2.644402468015413,NA,NA,NA
nutnet,2017,B4_9,B4,9,dry,no snow,never affected,C,C,40,51,22,0,113,78,91,43.956043956043956,56.043956043956044,0.7843137254901961,1,1.098901098901099,16,2.0490962589337394,NA,NA,NA
nutnet,2017,B4_10,B4,10,dry,no snow,never affected,N+P+K,N+P,78,47,14,0,139,86,125,62.4,37.6,1.6595744680851063,0,0,26,2.6428577083223326,NA,NA,NA
sdl,1997,1,NA,1,dry,no snow,never affected,C,C,46,43,9,0,98,91,89,51.68539325842697,48.31460674157304,1.069767441860465,10,11.235955056179774,20,2.1117569067034196,100.99999999999997,105.62499999999997,206.62499999999997
sdl,1997,2,NA,2,dry,no snow,never affected,C,C,70,20,10,0,100,90,90,77.77777777777779,22.22222222222222,3.5,14,15.555555555555555,13,1.840095345474113,67.37499999999999,127.62499999999997,194.99999999999994
sdl,1997,3,NA,3,dry,no snow,never affected,C,C,51,32,16,0,99,84,83,61.44578313253012,38.55421686746988,1.59375,6,7.228915662650602,21,2.4226141551554656,40.87499999999999,113.87499999999997,154.74999999999997
sdl,1997,4,NA,4,dry,no snow,never affected,C,C,60,24,14,0,98,86,84,71.42857142857143,28.57142857142857,2.5,4,4.761904761904762,17,1.8412332449426256,192.74999999999997,92.74999999999999,285.49999999999994
sdl,1997,5,NA,5,dry,no snow,never affected,N,N,20,45,30,0,95,70,65,30.76923076923077,69.23076923076923,0.4444444444444444,5,7.6923076923076925,13,1.7241714527503065,134.24999999999997,159.62499999999997,293.87499999999994
sdl,1997,6,NA,6,dry,no snow,never affected,N,N,38,42,21,0,101,79,80,47.5,52.5,0.9047619047619048,10,12.5,16,2.235491781696261,135.37499999999997,154.99999999999997,290.37499999999994
sdl,1997,7,NA,7,dry,no snow,never affected,N,N,29,41,30,0,100,70,70,41.42857142857143,58.57142857142858,0.7073170731707317,3,4.285714285714286,16,2.060495542831619,134.12499999999997,73.49999999999999,207.62499999999994
sdl,1997,8,NA,8,dry,no snow,never affected,N,N,21,51,29,0,101,71,72,29.166666666666668,70.83333333333334,0.4117647058823529,3,4.166666666666666,14,1.8595980717655278,37.62499999999999,92.12499999999999,129.74999999999997
sdl,1997,9,NA,9,dry,no snow,never affected,N+P,N+P,20,20,44,0,84,56,40,50,50,1,6,15,10,1.8970716892687731,89.99999999999997,227.62499999999997,317.62499999999994
sdl,1997,10,NA,10,dry,no snow,never affected,N+P,N+P,59,24,21,0,104,79,83,71.08433734939759,28.915662650602407,2.4583333333333335,15,18.072289156626507,19,2.473484733746367,216.62499999999994,28.249999999999993,244.87499999999994
sdl,1997,11,NA,11,dry,no snow,never affected,N+P,N+P,41,42,11,0,94,89,83,49.39759036144578,50.602409638554214,0.9761904761904762,13,15.66265060240964,17,2.1917520179023295,248.74999999999994,253.49999999999994,502.2499999999999
sdl,1997,12,NA,12,dry,no snow,never affected,N+P,N+P,28,44,28,0,100,72,72,38.88888888888889,61.111111111111114,0.6363636363636364,2,2.7777777777777777,16,2.2167737853386464,119.74999999999997,332.62499999999994,452.3749999999999
sdl,1997,13,NA,13,dry,no snow,never affected,P,P,72,14,13,0,99,87,86,83.72093023255815,16.27906976744186,5.142857142857143,29,33.72093023255814,16,2.1462875453931947,99.37499999999997,80.62499999999999,179.99999999999997
sdl,1997,14,NA,14,dry,no snow,never affected,P,P,66,35,18,0,119,82,101,65.34653465346535,34.65346534653465,1.8857142857142857,13,12.871287128712872,14,2.0442393238701464,227.74999999999994,102.37499999999999,330.12499999999994
sdl,1997,15,NA,15,dry,no snow,never affected,P,P,51,35,14,0,100,86,86,59.30232558139535,40.69767441860465,1.457142857142857,3,3.488372093023256,20,2.294956537476761,185.49999999999994,76.37499999999999,261.87499999999994
sdl,1997,16,NA,16,dry,no snow,never affected,P,P,18,56,26,0,100,74,74,24.324324324324326,75.67567567567568,0.32142857142857145,0,0,22,1.6448838904242233,17.499999999999996,105.87499999999997,123.37499999999997
sdl,1997,286,NA,286,dry,snow,NA,N,N,63,13,25,0,101,75,76,82.89473684210526,17.105263157894736,4.846153846153846,16,21.052631578947366,15,2.3685785835550996,NA,NA,NA
sdl,2003,1,NA,1,dry,no snow,never affected,C,C,47,53,0,0,100,NA,100,47,53,0.8867924528301887,8,8,NA,NA,NA,NA,NA
sdl,2003,2,NA,2,dry,no snow,never affected,C,C,76,24,0,0,100,NA,100,76,24,3.1666666666666665,29,28.999999999999996,NA,NA,NA,NA,NA
sdl,2003,3,NA,3,dry,no snow,never affected,C,C,59,39,10,0,108,NA,98,60.204081632653065,39.795918367346935,1.5128205128205128,29,29.591836734693878,NA,NA,NA,NA,NA
sdl,2003,4,NA,4,dry,no snow,never affected,C,C,69,28,3,0,100,NA,97,71.1340206185567,28.865979381443296,2.4642857142857144,10,10.309278350515463,NA,NA,NA,NA,NA
sdl,2003,5,NA,5,dry,no snow,never affected,N,N,48,43,0,0,91,NA,91,52.74725274725275,47.25274725274725,1.1162790697674418,16,17.582417582417584,NA,NA,NA,NA,NA
sdl,2003,6,NA,6,dry,no snow,never affected,N,N,54,44,0,0,98,NA,98,55.10204081632652,44.89795918367347,1.2272727272727273,26,26.53061224489796,NA,NA,NA,NA,NA
sdl,2003,7,NA,7,dry,no snow,never affected,N,N,49,36,2,0,87,NA,85,57.647058823529406,42.35294117647059,1.3611111111111112,13,15.294117647058824,NA,NA,NA,NA,NA
sdl,2003,8,NA,8,dry,no snow,never affected,N,N,48,42,0,0,90,NA,90,53.333333333333336,46.666666666666664,1.1428571428571428,18,20,NA,NA,NA,NA,NA
sdl,2003,9,NA,9,dry,no snow,never affected,N+P,N+P,61,28,0,0,89,NA,89,68.53932584269663,31.46067415730337,2.1785714285714284,28,31.46067415730337,NA,NA,NA,NA,NA
sdl,2003,10,NA,10,dry,no snow,never affected,N+P,N+P,86,16,0,0,102,NA,102,84.31372549019608,15.686274509803921,5.375,35,34.31372549019608,NA,NA,NA,NA,NA
sdl,2003,11,NA,11,dry,no snow,never affected,N+P,N+P,72,26,0,0,98,NA,98,73.46938775510205,26.53061224489796,2.769230769230769,16,16.3265306122449,NA,NA,NA,NA,NA
sdl,2003,12,NA,12,dry,no snow,never affected,N+P,N+P,71,30,0,0,101,NA,101,70.29702970297029,29.7029702970297,2.3666666666666667,12,11.881188118811881,NA,NA,NA,NA,NA
sdl,2003,13,NA,13,dry,no snow,never affected,P,P,44,54,2,0,100,NA,98,44.89795918367347,55.10204081632652,0.8148148148148148,9,9.183673469387756,NA,NA,NA,NA,NA
sdl,2003,14,NA,14,dry,no snow,never affected,P,P,63,33,4,0,100,NA,96,65.625,34.375,1.9090909090909092,14,14.583333333333334,NA,NA,NA,NA,NA
sdl,2003,15,NA,15,dry,no snow,never affected,P,P,55,38,2,0,95,NA,93,59.13978494623656,40.86021505376344,1.4473684210526316,3,3.225806451612903,NA,NA,NA,NA,NA
sdl,2003,16,NA,16,dry,no snow,never affected,P,P,22,72,6,0,100,NA,94,23.404255319148938,76.59574468085107,0.3055555555555556,5,5.319148936170213,NA,NA,NA,NA,NA
sdl,2003,17,NA,17,mesic,no snow,never affected,C,C,78,14,0,0,92,NA,92,84.78260869565217,15.217391304347828,5.571428571428571,48,52.17391304347826,NA,NA,NA,NA,NA
sdl,2003,18,NA,18,mesic,no snow,never affected,C,C,86,8,1,6,101,NA,100,86,8,10.75,24,24,NA,NA,NA,NA,NA
sdl,2003,19,NA,19,mesic,no snow,never affected,C,C,64,34,0,0,98,NA,98,65.3061224489796,34.69387755102041,1.8823529411764706,23,23.46938775510204,NA,NA,NA,NA,NA
sdl,2003,20,NA,20,mesic,no snow,never affected,C,C,38,47,3,0,88,NA,85,44.70588235294118,55.294117647058826,0.8085106382978723,7,8.235294117647058,NA,NA,NA,NA,NA
sdl,2003,21,NA,21,mesic,no snow,never affected,N,N,62,44,0,0,106,NA,106,58.490566037735846,41.509433962264154,1.4090909090909092,30,28.30188679245283,NA,NA,NA,NA,NA
sdl,2003,22,NA,22,mesic,no snow,never affected,N,N,71,21,0,0,92,NA,92,77.17391304347827,22.82608695652174,3.380952380952381,36,39.130434782608695,NA,NA,NA,NA,NA
sdl,2003,23,NA,23,mesic,no snow,never affected,N,N,35,47,0,0,82,NA,82,42.68292682926829,57.3170731707317,0.7446808510638298,16,19.51219512195122,NA,NA,NA,NA,NA
sdl,2003,24,NA,24,mesic,no snow,never affected,N,N,53,56,0,0,109,NA,109,48.62385321100918,51.37614678899083,0.9464285714285714,29,26.605504587155966,NA,NA,NA,NA,NA
sdl,2003,25,NA,25,mesic,no snow,never affected,N+P,N+P,29,68,0,0,97,NA,97,29.896907216494846,70.10309278350515,0.4264705882352941,23,23.711340206185564,NA,NA,NA,NA,NA
sdl,2003,26,NA,26,mesic,no snow,never affected,N+P,N+P,21,66,0,0,87,NA,87,24.137931034482758,75.86206896551724,0.3181818181818182,14,16.091954022988507,NA,NA,NA,NA,NA
sdl,2003,27,NA,27,mesic,no snow,never affected,N+P,N+P,19,64,0,2,85,NA,85,22.35294117647059,75.29411764705883,0.296875,15,17.647058823529413,NA,NA,NA,NA,NA
sdl,2003,28,NA,28,mesic,no snow,never affected,N+P,N+P,14,65,0,0,79,NA,79,17.72151898734177,82.27848101265823,0.2153846153846154,6,7.59493670886076,NA,NA,NA,NA,NA
sdl,2003,29,NA,29,mesic,no snow,never affected,P,P,64,40,0,0,104,NA,104,61.53846153846154,38.46153846153847,1.6,29,27.884615384615387,NA,NA,NA,NA,NA
sdl,2003,30,NA,30,mesic,no snow,never affected,P,P,73,2,0,0,75,NA,75,97.33333333333334,2.666666666666667,36.5,25,33.33333333333333,NA,NA,NA,NA,NA
sdl,2003,31,NA,31,mesic,no snow,never affected,P,P,54,30,0,0,84,NA,84,64.28571428571429,35.714285714285715,1.8,20,23.809523809523807,NA,NA,NA,NA,NA
sdl,2003,32,NA,32,mesic,no snow,never affected,P,P,54,44,0,0,98,NA,98,55.10204081632652,44.89795918367347,1.2272727272727273,26,26.53061224489796,NA,NA,NA,NA,NA
