"Block","Plot","N","P","K+","FullTreatment","2BARE","2LICHN","2LTR","2MOSS","2RF","2WOOD","ACMIA","ALGE","ANAL4","ANSE4","ARFEF3","ARSC","CANI2","CAOC4","CAPU","CAREX","CARO2","CARUD","CASC12","CAUN2","CEARS2","CHJA","DECE","DRAU","DRST4","ELYMUS","ERCA14","ERME2","ERNA","ERPI6","ERSI3","FEBR","FORB1","FORB2","GERO2","GRASS1","GRASS2","HEMO3","KOMY","LEPY2","LLSE","LUSP4","MELA3","MIOB2","NOMOM","ORALA","PACA15","PAPU2","PEPA3","PHPU5","POAL2","POARG","POBI6","PODI2","POPU3","POVI","POVI3","PRAN","SARH2","SEDES","SELA","SIACS2","SOSIN","TEAC","TEGR3","TOPY","TRPAP","TRSP2","VIOLET"
1,1,0,0,0,"C",12,0,9,0,0,0,0,2,0,0,1,4,0,0,0,0,0,28,0,5,0,0.25,2,0,0,0,0,0,1,0,0.25,4,1,0,17,0,0,0,18,0,9,0,0,8,0,6,0,0,2,0.25,3,0,1,0,0,0,0,0,0,8,1,4,1,1,4,0,0.25,0,1
1,2,0,0,1,"K",5,2,7,0,0,0,2,0.25,0.25,0,3,0,0,0,0.25,0,0,4,0,8,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,66,0,5,0,1,6,0,21,0,0,0,5,1,0,1,0,0,0,2,0.25,1,6,0.25,0,0.25,4,0,0,0,0,1
1,3,0,1,0,"P",3,0,10,3,0,0,0,0.25,2,0,0.25,18,0,0,1,0,4,12,2,1,1,7,0.25,0,0,0,0,0,0,0,0,4,0,0,25,0,0,0,5,1,3,0,0,8,0,0.25,0,0,0,2,0,0.25,2,1,0,0,5,0,0,15,3,0,0,0,3,0,0,3,0.25
1,4,1,0,0,"N",1,0,2,0,0,0,0,8,1,0,6,7,0,0.25,2,0,3,12,8,4,1,0,2,0,0,0,0,0.25,1,0,0,3,0,0,10,0,0,0,26,0.25,7,9,4,9,0,14,0,0,0,9,0,0.25,3,5,0,0,3,0.25,0.25,10,7,3,0,0,9,0,0,4,0
1,5,0,1,1,"P+K",1,0,14,0,0,0,0,8,0.25,0,7,4,0,0,0,2,4,14,0,3,0.25,2,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,35,3,2,0.25,0.25,11,0,2,0,0,0.25,3,0,3,1,0,0,0,3,0.25,1,9,5,0,5,0,1,0,12,2,0
1,6,1,0,1,"N+K",0,0,1,0,0,0,0,0,0,0,4,0,0,0.25,0,0,0,40,0,12,1,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,53,0.25,9,0,2,3,0,13,0,0,4,5,0,2,2,0.25,0,0,2,0.25,1,2,2,9,0,2,3,0,0,1,1
1,7,1,1,0,"N+P",0,0,0,0,0,0,0,10,0,0,15,0,0,0,0.25,0,2,25,1,8,15,0,1,0,0,0.25,2,0,0,0,3,4,0,0,2,0,0,0,38,0,8,0,4,5,0,22,0,0,5,2,5,5,3,10,2,0,0,2,0,1,3,3,4,1,10,0,0,11,5
1,8,1,1,1,"N+P+K",0,0,0,0,0,0,0,11,0,0,5,1,0,0,1,0,0,13,18,18,0,0,5,0,1,0,0,0,0,0,1,3,0,1,15,1,0,4,68,0,3,0,10,2,0,28,0,0,0,2,3,0,2,4,0,0,0.25,0,0,0,0,0,1,0,4,0,0,8,1
1,9,0,0,0,"C",1,4,1,0,4,0,0,7,0,0,1,5,0,0,0,0,0,34,14,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,25,0,0,0,16,0,0,0,2,11,0,13,0,0,1,6,0,4,1,13,8,0,9,0,0,7,0.25,5,0,6,4,0,9,0,1
1,10,1,1,1,"N+P+K",0.25,0,2,0,0,0,0,11,0.25,12,0,6,0,0,0,4,5,36,0,0.25,7,0,3,0,0,0,1,2,0.25,2,0,15,0,0,7,0,0,0,5,0,3,1,6,16,0,7,0,3,0,17,0,4,2,6,0,13,0.25,1,0.25,4,3,7,3,6,6,0,0,3,1
2,1,0,0,0,"C",0,1,9,0,0,0,0,3,0,0,2,1,0,0,0,0,0,20,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,44,0.25,0.25,0,2,14,0,3,0,0,0,2,0,0,0.25,0.25,0,0,5,1,0,8,0.25,0,4,1,0,0,0.25,0,0
2,2,0,0,1,"K",1,0,9,0,0,0,0,6,0.25,0,1,2,0,0,0,0,0,37,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,47,3,8,0.25,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,3,0,0,9,0,1,0,0,0,1
2,3,0,1,0,"P",1,0,9,0,0,0,0,3,1,0,7,2,0,0,0,0,0,14,0,13,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,11,0,0,0.25,67,4,1,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,9,9,9,0,0,1,1,0,2,1
2,4,1,0,0,"N",1,0,2,0,0,0,0,4,2,0,8,6,0,0,0,0,12,57,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,25,0,0,0,9,0,2,1,0,8,0,12,0,0,0,0,0,1,2,1,0,0,0,3,0,6,3,1,7,4,1,0,0,0,5
2,5,0,1,1,"P+K",2,0,9,0,0,0,0,2,0,0,6,1,0,0,0,0,0,3,0,11,0.25,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,49,1,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,1,0,19,2,0,0,0,2,1
2,6,1,0,1,"N+K",1,1,3,0,1,0,0,6,0,0,6,1,0,0,0,0,0,47,0,1,4,0,1,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,40,0,1,0,0,15,0,8,0,0,0,3,1,0,2,0,0,0,0,1,1,1,1,5,5,2,0,0,0,4,0
2,7,1,1,0,"N+P",0,0,2,0,0,0,0,1,0,0,15,2,0,0,0,0,0,3,0,6,2,2,7,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,58,0,4,0,5,17,0,4,0,0,0,0,0,10,0,0,0,0,4,0.25,0,5,0,0,2,0.25,0,0,0,8,1
2,8,1,1,1,"N+P+K",0,0,2,0,0,0,0,3,0.25,1,13,1,0,0,0,0,0,30,0,13,16,0,0.25,0,0,0,0,0,0,0,0,13,0,0,15,0,0,0,37,1,0,0,1,10,0,17,0,0,1,0,0,0.25,4,0,3,0,0,0,0,0,1,0,21,3,0,0,0,11,0
2,9,0,0,0,"C",0,1,12,0,0,0,0,3,2,0,4,0,0,0,0,0,0,15,0,4,0,0,0.25,0,0,0,0,0,0.25,0,0,1,0,0,9,0,0,0,63,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,1,0,0,0,0,1
2,10,1,1,1,"N+P+K",0,0,4,0,0,0,0,5,1,0,18,0,0,0,0,0,0,38,0,27,0,0,2,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,25,3,0,4,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,5,10,0,2,2,0,0,0,7,2
3,1,0,0,0,"C",11,0,2,0,1,0,0,4,1,0,6,0.25,0,0,0,0,1,22,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,41,1,0.25,0,0,2,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,1,14,1,0,2,2,0,0,0,0,0
3,2,0,0,1,"K",11,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,5,48,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,30,0.25,1,0,0,7,0,0,1,0,0,0,0,0,0.25,0,0,0,0.25,0,0,4,0,0,1,2,0,0,0,0.25,0
3,3,0,1,0,"P",8,0,8,0,0,0,0,4,2,0.25,7,0,0,0,0,0,7,10,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1,0,0,0,48,1,2,0,0,1,0,0,0,0,0,0,0,0.25,1,0,0,0,1,0.25,2,8,7,0,8,0,0.25,0,0,5,0
3,4,1,0,0,"N",4,0,2,0,0,0,0,7,2,0,9,0,0,0,0,0,6,33,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,75,0.25,1,0.25,0,0,0,0,0,0,0,0,1,2,0.25,0,0,0,2,0,0,2,5,0,1,10,0,0,0,3,0
3,5,0,1,1,"P+K",6,0,6,0,0,1,0,6,11,2,5,0,0,0,0,0,6,26,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,61,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,5,0
3,6,1,0,1,"N+K",7,0,3,0,0,0,0,1,0,0,7,0,0,0,1,0,5,30,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,46,2,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,10,6,0,9,5,0,0,0,1,0
3,7,1,1,0,"N+P",0,0,1,0,0,0,0,11,5,0,3,3,0,0,0,4,25,15,43,8,32,0,3,0,0,0,0,0,0,0,0,4,0,0,43,0,0,0,26,3,5,0,1,0,0,4,0,0,0,0,2,17,4,0,0,0,1,0,0,0,4,0,5,0,0,0,0,16,0
3,8,1,1,1,"N+P+K",0,0,3,0,0,0,0,4,3,0,17,3,0,0,0,0,0,22,0,10,3,0,0,0,0,0,0,0,0,0,1,9,0,0,11,0,0,0,30,0,0,6,1,12,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,10,6,0,7,3,3,0,0,20,1
3,9,0,0,0,"C",0,0,10,0,3,0,0,3,1,0,11,0,0,0,0.25,0,0,23,5,2,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,3,0,0,0,32,2,3,0,1,6,0,4,0,0,0,0,0,0,3,0,0,0,0.25,0,0,10,2,0,23,0,0,0,0,0,1
3,10,1,1,1,"N+P+K",0,0,4,0,0,0,0,0,4,0,18,3,0,0,0,0,0,17,0,24,12,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,23,1,0,4,0,2,0,0,0,0,0,1,0,14,3,0,0,0,0,0,0,3,5,0,4,0,0,0,0,19,2
4,1,0,0,0,"C",1,2,20,0,0,0,0,6,0,0,4,0,0,0,0.25,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,32,0.25,16,0,0,4,0,1,0,0,2,0.25,0,0,0,0,0,0,1,0,0,11,3,0,8,2,0,0,0,0,1
4,2,0,0,1,"K",5,0,2,0,0,0,0,1,0,0,6,0,0,0,0,0,3,20,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,62,0,3,0,3,5,2,7,0,0,0,1,0,1,1,1,0,0,1,0,0,7,1,0,3,1,0,0,1,2,0
4,3,0,1,0,"P",0,1,4,0,0,0,0,2,2,0,5,7,6,0,0,1,0,12,0,3,3,0,1,0,0,0,0,0,0,0,0,4,0,0,17,0,0,0,38,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.25,5,2,0,8,13,0,0,0,1,0
4,4,1,0,0,"N",0,0,6,0,0,0,0,7,0,0,6,0,0,0,1,0,4,11,0,7,1,0,1,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,60,1,2,0,0,5,0,5,0,0,4,0.25,0,0,2,0,0,0,0,0.25,2,6,3,0,3,0,0,0,0.25,2,0
4,5,0,1,1,"P+K",3,0,8,0,0,0,0,4,0,1,9,9,0,0,0,1,0,5,0,2,0.25,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,42,0.25,7,0,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,16,2,1,0,5,5,0
4,6,1,0,1,"N+K",0,0,7,0,0,0,0,3,0,0,4,3,0,0,0,0,1,33,8,6,0,0,2,0,0,0,0,0,0.25,0,0,2,0,0,3,0,0,0,42,0,4,0,2,13,0,20,0,0,0,4,0,0,2,0,0,0,0,0,0,2,3,0,21,6,1,0,0,1,0
4,7,1,1,0,"N+P",0,0,4,0,0,0,0,6,2,0,18,0,0,0,0.25,0,5,27,0,18,24,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,31,3,2,1,0,0,0,1,0,0,13,0,0.25,10,10,3,6,0,0,0,0,1,6,0,10,0,0,0,0,16,1
4,8,1,1,1,"N+P+K",0,0,3,0,0,0,0,5,6,0,16,1,0,0,4,4,9,14,0,7,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,43,1,4,2,2,3,0,19,0,0,0,2,17,0.25,2,0.25,1,0,0,0,0,2,6,0,11,2,0,0,0,0,1
4,9,0,0,0,"C",1,2,10,0,1,0,0,3,0.25,0,5,1,0,0,2,2,1,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,35,0,2,0,2,1,0,2,0,0,0,1,0,0,0.25,0,0,0,0,0,0.25,10,1,0,7,8,0,0,0,2,0
4,10,1,1,1,"N+P+K",0,0,1,0,0,0,0,3,0,0,21,11,0,1,0,0,9,28,0,17,9,0,1,0,0.25,3,0,0,0.25,0,0,18,0,0,0,0,0,0,29,0,5,0,1,7,0,13,0,0,5,5,0,6,2,0,13,0,1,0,0,3,2,0,2,1,0,0,0.25,12,0
