site,surveydate,plot,jgs_plot,trt,meadow,snow,clean_code2,hits
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,ERSI3,3
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,GEAL2,3
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,GERO2,10
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,KOMY,0.25
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,LLSE,0.25
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,POBI6,1
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,POVI3,2
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,SAGL,11
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,SANI8,1
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,STLO2,1
sdl,2005-07-25,18,"268, 436, 437 (CC)",C,mesic,no snow,TRPAP,11
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,2BARE,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,2LICHN,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,2LTR,2
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,2MOSS,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,ALGE,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,ARSC,5
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,CASC12,7
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,DECE,4
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,ERSI3,6
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,GERO2,7
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,KOMY,17
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,MIOB2,2
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,NOFEG,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,POAL2,0.25
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,POBI6,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,POVI3,4
sdl,2005-07-14,19,"267, 444 (CC)",C,mesic,no snow,SELA,0.25
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,STLO2,1
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,TRPAP,5
sdl,2005-07-27,19,"267, 444 (CC)",C,mesic,no snow,TRSP2,2
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,2LTR,5
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,ALGE,4
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,ARSC,9
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,CAOC4,0.25
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,CASC12,9
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,CEARS2,0.25
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,DECE,14
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,ERSI3,11
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,FESTU,7
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,GERO2,24
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,KOMY,0.25
sdl,2005-07-14,20,"266, 445 (CC)",C,mesic,no snow,MIOB2,0.25
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,NOFEG,1
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,ORALA,3
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,POBI6,3
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,POGL,1
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,SELA,0.25
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,STLO2,6
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,TRPAP,0.25
sdl,2005-07-27,20,"266, 445 (CC)",C,mesic,no snow,TRSP2,1
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,2LTR,4
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,ALGE,4
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,ARSC,7
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,CAOC4,0.25
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,CASC12,3
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,DECE,17
sdl,2005-07-14,21,"294, 440 (NN)",N,mesic,no snow,ERSI3,0.25
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,FESTU,3
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,GEAL2,4
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,GERO2,18
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,KOMY,1
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,POBI6,2
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,POVI3,1
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,STLO2,2
sdl,2005-07-25,21,"294, 440 (NN)",N,mesic,no snow,TRPAP,8
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,2LTR,2
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,ALGE,3
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,ARSC,16
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,CAOC4,0.25
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,CASC12,0.25
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,DECE,13
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,ERSI3,3
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,FESTU,3
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,GERO2,29
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,POBI6,1
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,POVI3,3
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,STLO2,7
sdl,2005-07-26,22,"295, 448 (NN)",N,mesic,no snow,TRPAP,8
sdl,2005-07-26,23,279 (NN),N,mesic,no snow,2LTR,5
sdl,2005-07-26,23,279 (NN),N,mesic,no snow,ARSC,1
sdl,2005-07-26,23,279 (NN),N,mesic,no snow,DECE,40
sdl,2005-07-26,23,279 (NN),N,mesic,no snow,GERO2,27
sdl,2005-07-26,23,279 (NN),N,mesic,no snow,POBI6,6
sdl,2005-07-26,23,279 (NN),N,mesic,no snow,STLO2,8
sdl,2005-07-26,23,279 (NN),N,mesic,no snow,TRPAP,4
sdl,2005-07-25,24,"264, 452 (NN)",N,mesic,no snow,2LICHN,2
sdl,2005-07-25,24,"264, 452 (NN)",N,mesic,no snow,2LTR,2
sdl,2005-07-25,24,"264, 452 (NN)",N,mesic,no snow,ARSC,7
sdl,2005-07-25,24,"264, 452 (NN)",N,mesic,no snow,CASC12,7
sdl,2005-07-25,24,"264, 452 (NN)",N,mesic,no snow,DECE,20
sdl,2005-07-25,24,"264, 452 (NN)",N,mesic,no snow,ERSI3,1
sdl,2005-07-25,24,"264, 452 (NN)",N,mesic,no snow,GERO2,24
sdl,2005-07-25,24,"264, 452 (NN)",N,mesic,no snow,POBI6,8
sdl,2005-07-25,24,"264, 452 (NN)",N,mesic,no snow,TRPAP,2
sdl,2005-07-26,25,"298, 442 (NP)",N+P,mesic,no snow,2LTR,3
sdl,2005-07-14,25,"298, 442 (NP)",N+P,mesic,no snow,ARSC,0.25
sdl,2005-07-26,25,"298, 442 (NP)",N+P,mesic,no snow,CASC12,9
sdl,2005-07-26,25,"298, 442 (NP)",N+P,mesic,no snow,DECE,31
sdl,2005-07-26,25,"298, 442 (NP)",N+P,mesic,no snow,GERO2,28
sdl,2005-07-14,25,"298, 442 (NP)",N+P,mesic,no snow,POBI6,0.25
sdl,2005-07-26,25,"298, 442 (NP)",N+P,mesic,no snow,POVI3,2
sdl,2005-07-26,25,"298, 442 (NP)",N+P,mesic,no snow,STLO2,9
sdl,2005-07-26,25,"298, 442 (NP)",N+P,mesic,no snow,TRPAP,2
sdl,2005-07-25,26,"281, 439 (NP)",N+P,mesic,no snow,2LTR,1
sdl,2005-07-14,26,"281, 439 (NP)",N+P,mesic,no snow,ARSC,0.25
sdl,2005-07-25,26,"281, 439 (NP)",N+P,mesic,no snow,CASC12,35
sdl,2005-07-25,26,"281, 439 (NP)",N+P,mesic,no snow,DECE,18
sdl,2005-07-25,26,"281, 439 (NP)",N+P,mesic,no snow,ERSI3,0.25
sdl,2005-07-25,26,"281, 439 (NP)",N+P,mesic,no snow,GEAL2,2
sdl,2005-07-25,26,"281, 439 (NP)",N+P,mesic,no snow,GERO2,18
sdl,2005-07-25,26,"281, 439 (NP)",N+P,mesic,no snow,POBI6,2
sdl,2005-07-25,26,"281, 439 (NP)",N+P,mesic,no snow,POVI3,2
sdl,2005-07-25,26,"281, 439 (NP)",N+P,mesic,no snow,STLO2,4
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,2LTR,7
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,ARSC,2
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,CAOC4,0.25
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,CASC12,5
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,DECE,27
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,ERSI3,0.25
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,GERO2,10
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,POBI6,2
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,POVI3,0.25
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,SAGL,7
sdl,2005-07-25,27,"403, 450 (NP)",N+P,mesic,no snow,STLO2,4
sdl,2005-07-14,27,"403, 450 (NP)",N+P,mesic,no snow,TRPAP,0.25
sdl,2005-07-26,28,"293, 404, 210, 220 (NP)",N+P,mesic,no snow,2LTR,7
sdl,2005-07-26,28,"293, 404, 210, 220 (NP)",N+P,mesic,no snow,DECE,41
sdl,2005-07-26,28,"293, 404, 210, 220 (NP)",N+P,mesic,no snow,GERO2,2
sdl,2005-07-26,28,"293, 404, 210, 220 (NP)",N+P,mesic,no snow,POBI6,2
sdl,2005-07-26,28,"293, 404, 210, 220 (NP)",N+P,mesic,no snow,PODI2,2
sdl,2005-07-26,28,"293, 404, 210, 220 (NP)",N+P,mesic,no snow,STLO2,2
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,2BARE,2
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,2LTR,1
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,2MOSS,1
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,ARSC,11
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,CAOC4,3
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,DECE,14
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,ERSI3,1
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,FESTU,1
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,GERO2,23
sdl,2005-07-14,29.5,"397, 435, 438 (PP)",P,mesic,no snow,LLSE,0.25
sdl,2005-07-14,29.5,"397, 435, 438 (PP)",P,mesic,no snow,POBI6,0.25
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,POVI3,7
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,SANI8,3
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,SAPL2,0.25
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,STLO2,2
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,TRDA2,1
sdl,2005-07-25,29.5,"397, 435, 438 (PP)",P,mesic,no snow,TRPAP,15
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,ALGE,5
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,ARSC,12
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,CARO2,1
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,CASC12,2
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,DECE,11
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,FESTU,5
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,GEAL2,2
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,GERO2,11
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,KOMY,2
sdl,2005-07-14,30,"283, 441 (PP)",P,mesic,no snow,POBI6,0.25
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,POVI3,7
sdl,2005-07-14,30,"283, 441 (PP)",P,mesic,no snow,SELA,0.25
sdl,2005-07-14,30,"283, 441 (PP)",P,mesic,no snow,SIACS2,0.25
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,STLO2,5
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,TRDA2,6
sdl,2005-07-25,30,"283, 441 (PP)",P,mesic,no snow,TRPAP,14
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,2LTR,3
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,2MOSS,2
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,ALGE,10
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,ARSC,13
sdl,2005-07-14,31,"280, 449 (PP)",P,mesic,no snow,CAOC4,0.25
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,CASC12,0.25
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,DECE,3
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,ERSI3,3
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,FESTU,7
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,GERO2,15
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,KOMY,18
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,ORALA,1
sdl,2005-07-14,31,"280, 449 (PP)",P,mesic,no snow,POBI6,0.25
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,POVI3,5
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,STLO2,6
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,TRDA2,1
sdl,2005-07-26,31,"280, 449 (PP)",P,mesic,no snow,TRPAP,7
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,2LTR,13
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,2MOSS,1
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,ALGE,1
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,ARSC,2
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,CAOC4,1
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,CASC12,3
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,DECE,11
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,ERSI3,7
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,FESTU,3
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,GERO2,11
sdl,2005-07-14,32,"406, 451 (PP)",P,mesic,no snow,POBI6,0.25
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,POVI3,2
sdl,2005-07-25,32,"406, 451 (PP)",P,mesic,no snow,TRPAP,9
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,2LICHN,2
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,2LTR,10
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,ALGE,2
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,ARSC,4
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,CAOC4,0.25
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,CASC12,1
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,ERSI3,1
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,FESTU,2
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,GERO2,19
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,LEPY2,0.25
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,MELA3,0.25
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,NOFEG,0.25
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,ORALA,0.25
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,POAL2,2
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,PODI2,0.25
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,POVI3,3
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,SARH2,0.25
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,SELA,0.25
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,SIACS2,1
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,STLO2,0.25
sdl,2005-07-28,49,"888, 458 (CC)",C,dry,snow,TRPAP,8
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,2GRAM,2
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,2LTR,14
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,ALGE,1
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,ARSC,9
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,CAOC4,1
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,DECE,11
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,ERSI3,0.25
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,GERO2,15
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,NOFEG,0.25
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,POBI6,2
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,POVI3,1
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,STLO2,0.25
sdl,2005-07-28,50,"889, 459 (CC)",C,dry,snow,TRPAP,2
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,2LTR,11
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,ALGE,7
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,ARSC,5
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,CALE4,1
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,CAOC4,0.25
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,CASC12,0.25
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,DECE,5
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,ERSI3,6
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,FESTU,1
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,GERO2,17
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,NOFEG,1
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,ORALA,1
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,POAL2,0.25
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,POBI6,1
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,PODI2,0.25
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,POVI3,5
sdl,2005-07-28,51,"890, 460 (CC)",C,dry,snow,STLO2,0.25
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,2LICHN,1
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,2LTR,5
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,ALGE,14
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,ARSC,3
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,CAOC4,1
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,CASC12,1
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,DECE,18
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,ERSI3,5
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,FESTU,1
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,GERO2,6
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,MIOB2,0.25
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,NOFEG,1
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,ORALA,2
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,POBI6,3
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,POGL,3
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,POVI3,1
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,STLO2,11
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,TRDA2,0.25
sdl,2005-07-28,52,"891, 457 (CC)",C,dry,snow,TRPAP,1
sdl,2005-07-28,53,"417, 863, 465 (NN)",N,dry,snow,2GRAM,1
sdl,2005-07-28,53,"417, 863, 465 (NN)",N,dry,snow,2LTR,13
sdl,2005-07-28,53,"417, 863, 465 (NN)",N,dry,snow,CAREX,5
sdl,2005-07-28,53,"417, 863, 465 (NN)",N,dry,snow,CASC12,2
sdl,2005-07-28,53,"417, 863, 465 (NN)",N,dry,snow,DECE,24
sdl,2005-07-28,53,"417, 863, 465 (NN)",N,dry,snow,GERO2,7
sdl,2005-07-28,53,"417, 863, 465 (NN)",N,dry,snow,POBI6,2
sdl,2005-07-28,53,"417, 863, 465 (NN)",N,dry,snow,STLO2,1
sdl,2005-07-28,53,"417, 863, 465 (NN)",N,dry,snow,TRPAP,4
sdl,2005-07-28,54,"415, 464 (NN)",N,dry,snow,2LTR,2
sdl,2005-07-28,54,"415, 464 (NN)",N,dry,snow,CASC12,33
sdl,2005-07-28,54,"415, 464 (NN)",N,dry,snow,DECE,13
sdl,2005-07-28,54,"415, 464 (NN)",N,dry,snow,ERSI3,2
sdl,2005-07-28,54,"415, 464 (NN)",N,dry,snow,GERO2,8
sdl,2005-07-28,54,"415, 464 (NN)",N,dry,snow,POAL2,0.25
sdl,2005-07-28,54,"415, 464 (NN)",N,dry,snow,POBI6,0.25
sdl,2005-07-28,54,"415, 464 (NN)",N,dry,snow,RHIN11,2
sdl,2005-07-28,54,"415, 464 (NN)",N,dry,snow,TRPAP,18
sdl,2005-07-28,55,"864, 472 (NN)",N,dry,snow,2GRAM,1
sdl,2005-07-28,55,"864, 472 (NN)",N,dry,snow,2LTR,16
sdl,2005-07-28,55,"864, 472 (NN)",N,dry,snow,ALGE,3
sdl,2005-07-28,55,"864, 472 (NN)",N,dry,snow,ARSC,5
sdl,2005-07-28,55,"864, 472 (NN)",N,dry,snow,CAOC4,0.25
sdl,2005-07-28,55,"864, 472 (NN)",N,dry,snow,CASC12,0.25
sdl,2005-07-28,55,"864, 472 (NN)",N,dry,snow,DECE,8
sdl,2005-07-28,55,"864, 472 (NN)",N,dry,snow,ERSI3,3
sdl,2005-07-28,55,"864, 472 (NN)",N,dry,snow,GERO2,3
sdl,2005-07-28,55,"864, 472 (NN)",N,dry,snow,ORALA,5
