"spp_gains","event","year","plot","type","USDA_name"
NA,2,1990,2,"MM",NA
"RAAD",3,1995,2,"MM","Ranunculus adoneus"
"CAOC4",3,1995,2,"MM","Castilleja occidentalis"
"POARG",4,1997,2,"MM","Poa arctica ssp. grayana"
"ARSC",5,2006,2,"MM","Artemisia scopulorum"
NA,6,2008,2,"MM",NA
"PODI2",7,2010,2,"MM","Potentilla diversifolia"
"ERSI3",7,2010,2,"MM","Erigeron simplex"
NA,8,2011,2,"MM",NA
NA,9,2012,2,"MM",NA
NA,10,2013,2,"MM",NA
NA,11,2014,2,"MM",NA
"POAL2",12,2015,2,"MM","Poa alpina"
NA,13,2016,2,"MM",NA
NA,2,1990,3,"MM",NA
"POARG",3,1995,3,"MM","Poa arctica ssp. grayana"
"MEOB",3,1995,3,"MM","Mertensia oblongifolia"
"TRPAP",3,1995,3,"MM","Trifolium parryi ssp. parryi"
"POVI3",3,1995,3,"MM","Polygonum viviparum"
NA,4,1997,3,"MM",NA
NA,5,2006,3,"MM",NA
NA,6,2008,3,"MM",NA
NA,7,2010,3,"MM",NA
NA,8,2011,3,"MM",NA
"DECE",9,2012,3,"MM","Deschampsia cespitosa"
NA,10,2013,3,"MM",NA
NA,11,2014,3,"MM",NA
"TRSP2",12,2015,3,"MM","Trisetum spicatum"
NA,13,2016,3,"MM",NA
NA,2,1990,4,"MM",NA
NA,3,1995,4,"MM",NA
"POVI3",4,1997,4,"MM","Polygonum viviparum"
"LUSP4",5,2006,4,"MM","Luzula spicata"
"SIPR",5,2006,4,"MM","Sibbaldia procumbens"
"CASCS2",6,2008,4,"MM","Carex scopulorum var. scopulorum"
NA,7,2010,4,"MM",NA
NA,8,2011,4,"MM",NA
NA,9,2012,4,"MM",NA
NA,10,2013,4,"MM",NA
NA,11,2014,4,"MM",NA
NA,12,2015,4,"MM",NA
NA,13,2016,4,"MM",NA
"CHJA",2,1990,5,"SB","Chionophila jamesii"
"LEPY2",2,1990,5,"SB","Lewisia pygmaea"
NA,3,1995,5,"SB",NA
NA,4,1997,5,"SB",NA
"LUSP4",5,2006,5,"SB","Luzula spicata"
"RAAD",5,2006,5,"SB","Ranunculus adoneus"
NA,6,2008,5,"SB",NA
NA,7,2010,5,"SB",NA
NA,8,2011,5,"SB",NA
NA,9,2012,5,"SB",NA
NA,10,2013,5,"SB",NA
"TRSP2",11,2014,5,"SB","Trisetum spicatum"
NA,12,2015,5,"SB",NA
NA,13,2016,5,"SB",NA
"SOMU",2,1990,6,"SB","Solidago multiradiata"
"TRSP2",2,1990,6,"SB","Trisetum spicatum"
NA,3,1995,6,"SB",NA
"POARG",4,1997,6,"SB","Poa arctica ssp. grayana"
"SIACS2",5,2006,6,"SB","Silene acaulis var. subacaulescens"
"FEBR",5,2006,6,"SB","Festuca brachyphylla"
"SEDES",6,2008,6,"SB","Selaginella densa var. scopulorum"
"GEAL2",6,2008,6,"SB","Gentiana algida"
NA,7,2010,6,"SB",NA
NA,8,2011,6,"SB",NA
NA,9,2012,6,"SB",NA
"CHJA",10,2013,6,"SB","Chionophila jamesii"
"ARFEF3",11,2014,6,"SB","Arenaria fendleri var. fendleri"
NA,12,2015,6,"SB",NA
"LUSP4",13,2016,6,"SB","Luzula spicata"
"SAPE18",2,1990,7,"WM","Salix petrophila"
"POBI6",2,1990,7,"WM","Polygonum bistortoides"
"FEBR",3,1995,7,"WM","Festuca brachyphylla"
"ERSI3",3,1995,7,"WM","Erigeron simplex"
NA,4,1997,7,"WM",NA
"STLO2",5,2006,7,"WM","Stellaria longipes"
"PEGR2",5,2006,7,"WM","Pedicularis groenlandica"
"SAPL2",5,2006,7,"WM","Salix planifolia"
NA,6,2008,7,"WM",NA
NA,7,2010,7,"WM",NA
"RHRH4",8,2011,7,"WM","Rhodiola rhodantha"
"POGLR2",8,2011,7,"WM","Poa glauca ssp. rupicola"
"RHIN11",9,2012,7,"WM","Rhodiola integrifolia"
"LUSP4",9,2012,7,"WM","Luzula spicata"
"MIOB2",10,2013,7,"WM","Minuartia obtusiloba"
"CACA12",11,2014,7,"WM","Carex capillaris"
"GEAMA",11,2014,7,"WM","Gentianella amarella ssp. acuta"
NA,12,2015,7,"WM",NA
"CHJA",13,2016,7,"WM","Chionophila jamesii"
"POAL2",2,1990,8,"MM","Poa alpina"
"SAPE18",3,1995,8,"MM","Salix petrophila"
"KOMY",3,1995,8,"MM","Kobresia myosuroides"
"LLSE",4,1997,8,"MM","Lloydia serotina"
"CAOC4",4,1997,8,"MM","Castilleja occidentalis"
"CEARS2",5,2006,8,"MM","Cerastium arvense ssp. strictum"
"STLO2",6,2008,8,"MM","Stellaria longipes"
NA,7,2010,8,"MM",NA
NA,8,2011,8,"MM",NA
NA,9,2012,8,"MM",NA
"PHPU5",10,2013,8,"MM","Phlox pulvinata"
"SELA",11,2014,8,"MM","Sedum lanceolatum"
NA,12,2015,8,"MM",NA
NA,13,2016,8,"MM",NA
"SELA",2,1990,9,"DM","Sedum lanceolatum"
"DECE",2,1990,9,"DM","Deschampsia cespitosa"
"TRSP2",3,1995,9,"DM","Trisetum spicatum"
"SARH2",3,1995,9,"DM","Saxifraga rhomboidea"
"FEBR",4,1997,9,"DM","Festuca brachyphylla"
"LUSP4",5,2006,9,"DM","Luzula spicata"
"CARO2",5,2006,9,"DM","Campanula rotundifolia"
"NOMO2",5,2006,9,"DM","Noccaea montana"
"POARG",5,2006,9,"DM","Poa arctica ssp. grayana"
"POBI6",5,2006,9,"DM","Polygonum bistortoides"
NA,6,2008,9,"DM",NA
NA,7,2010,9,"DM",NA
NA,8,2011,9,"DM",NA
"ERNA",9,2012,9,"DM","Eritrichium nanum"
"CASCS2",10,2013,9,"DM","Carex scopulorum var. scopulorum"
"CAUN2",10,2013,9,"DM","Campanula uniflora"
NA,11,2014,9,"DM",NA
NA,12,2015,9,"DM",NA
NA,13,2016,9,"DM",NA
"PAPU2",2,1990,10,"FF","Paronychia pulvinata"
"CACA13",2,1990,10,"FF","Carex capitata"
"PHPU5",2,1990,10,"FF","Phlox pulvinata"
"SELA",2,1990,10,"FF","Sedum lanceolatum"
"ERNA",2,1990,10,"FF","Eritrichium nanum"
"ERPI6",2,1990,10,"FF","Erigeron pinnatisectus"
"LUSP4",3,1995,10,"FF","Luzula spicata"
"CAOC4",3,1995,10,"FF","Castilleja occidentalis"
"ARFEF3",3,1995,10,"FF","Arenaria fendleri var. fendleri"
"POBI6",3,1995,10,"FF","Polygonum bistortoides"
NA,4,1997,10,"FF",NA
"TEACC",5,2006,10,"FF","Tetraneuris acaulis var. caespitosa"
"TRNA2",5,2006,10,"FF","Trifolium nanum"
NA,6,2008,10,"FF",NA
NA,7,2010,10,"FF",NA
NA,8,2011,10,"FF",NA
"ERSI3",9,2012,10,"FF","Erigeron simplex"
"HEMO3",10,2013,10,"FF","Helictotrichon mortonianum"
"TOPY",10,2013,10,"FF","Tonestus pygmaeus"
"POVI3",10,2013,10,"FF","Polygonum viviparum"
"TEGR3",10,2013,10,"FF","Tetraneuris grandiflora"
"ARPA18",11,2014,10,"FF","Artemisia pattersonii"
"ALGE",12,2015,10,"FF","Allium geyeri"
"MIRU3",12,2015,10,"FF","Minuartia rubella"
"CAUN2",13,2016,10,"FF","Campanula uniflora"
"ERPI6",2,1990,101,"FF","Erigeron pinnatisectus"
"CAPU",2,1990,101,"FF","Calamagrostis purpurascens"
"CAOC4",2,1990,101,"FF","Castilleja occidentalis"
"PHPU5",2,1990,101,"FF","Phlox pulvinata"
"NOMO2",2,1990,101,"FF","Noccaea montana"
"ARFEF3",3,1995,101,"FF","Arenaria fendleri var. fendleri"
"ARSC",4,1997,101,"FF","Artemisia scopulorum"
"SELA",4,1997,101,"FF","Sedum lanceolatum"
"TRDA2",4,1997,101,"FF","Trifolium dasyphyllum"
"SIACS2",5,2006,101,"FF","Silene acaulis var. subacaulescens"
"LLSE",5,2006,101,"FF","Lloydia serotina"
"TEGR3",5,2006,101,"FF","Tetraneuris grandiflora"
"TOPY",6,2008,101,"FF","Tonestus pygmaeus"
NA,7,2010,101,"FF",NA
NA,8,2011,101,"FF",NA
NA,9,2012,101,"FF",NA
NA,10,2013,101,"FF",NA
NA,11,2014,101,"FF",NA
"DRAU",12,2015,101,"FF","Draba aurea"
"ALGE",12,2015,101,"FF","Allium geyeri"
"ARPA18",12,2015,101,"FF","Artemisia pattersonii"
NA,13,2016,101,"FF",NA
"CAPY3",2,1990,11,"SB","Carex pyrenaica"
"SIACS2",2,1990,11,"SB","Silene acaulis var. subacaulescens"
"FEBR",2,1990,11,"SB","Festuca brachyphylla"
"TRPAP",2,1990,11,"SB","Trifolium parryi ssp. parryi"
"GEROT",3,1995,11,"SB","Geum rossii var. turbinatum"
"SEFRB",3,1995,11,"SB","Senecio fremontii var. blitoides"
"DECE",4,1997,11,"SB","Deschampsia cespitosa"
"SOSIN",5,2006,11,"SB","Solidago simplex ssp. simplex var. nana"
"LEPY2",5,2006,11,"SB","Lewisia pygmaea"
"TRSP2",5,2006,11,"SB","Trisetum spicatum"
NA,6,2008,11,"SB",NA
NA,7,2010,11,"SB",NA
NA,8,2011,11,"SB",NA
"CHJA",9,2012,11,"SB","Chionophila jamesii"
NA,10,2013,11,"SB",NA
"LUSP4",11,2014,11,"SB","Luzula spicata"
"CALA10",12,2015,11,"SB","Carex lachenalii"
"KOMY",12,2015,11,"SB","Kobresia myosuroides"
"POBI6",13,2016,11,"SB","Polygonum bistortoides"
"LUSP4",2,1990,12,"SB","Luzula spicata"
"POAL2",3,1995,12,"SB","Poa alpina"
"POARG",4,1997,12,"SB","Poa arctica ssp. grayana"
"FEBR",5,2006,12,"SB","Festuca brachyphylla"
"TRSP2",6,2008,12,"SB","Trisetum spicatum"
NA,7,2010,12,"SB",NA
NA,8,2011,12,"SB",NA
"ARFEF3",9,2012,12,"SB","Arenaria fendleri var. fendleri"
NA,10,2013,12,"SB",NA
NA,11,2014,12,"SB",NA
NA,12,2015,12,"SB",NA
NA,13,2016,12,"SB",NA
"LEPY2",2,1990,14,"SB","Lewisia pygmaea"
"POARG",3,1995,14,"SB","Poa arctica ssp. grayana"
NA,4,1997,14,"SB",NA
"CHJA",5,2006,14,"SB","Chionophila jamesii"
"TRSP2",6,2008,14,"SB","Trisetum spicatum"
NA,7,2010,14,"SB",NA
NA,8,2011,14,"SB",NA
NA,9,2012,14,"SB",NA
NA,10,2013,14,"SB",NA
NA,11,2014,14,"SB",NA
"ARFEF3",12,2015,14,"SB","Arenaria fendleri var. fendleri"
NA,13,2016,14,"SB",NA
"ERSI3",2,1990,15,"SB","Erigeron simplex"
"POVI3",3,1995,15,"SB","Polygonum viviparum"
"ORALA",4,1997,15,"SB","Oreoxis alpina ssp. alpina"
"RAAD",5,2006,15,"SB","Ranunculus adoneus"
NA,6,2008,15,"SB",NA
"LUSP4",7,2010,15,"SB","Luzula spicata"
NA,8,2011,15,"SB",NA
NA,9,2012,15,"SB",NA
NA,10,2013,15,"SB",NA
NA,11,2014,15,"SB",NA
NA,12,2015,15,"SB",NA
NA,13,2016,15,"SB",NA
"CHJA",2,1990,16,"SB","Chionophila jamesii"
"ERME2",3,1995,16,"SB","Erigeron melanocephalus"
"FEBR",3,1995,16,"SB","Festuca brachyphylla"
NA,4,1997,16,"SB",NA
NA,5,2006,16,"SB",NA
NA,6,2008,16,"SB",NA
NA,7,2010,16,"SB",NA
NA,8,2011,16,"SB",NA
"SIACS2",9,2012,16,"SB","Silene acaulis var. subacaulescens"
NA,10,2013,16,"SB",NA
NA,11,2014,16,"SB",NA
NA,12,2015,16,"SB",NA
NA,13,2016,16,"SB",NA
"CHJA",2,1990,17,"MM","Chionophila jamesii"
"SARH2",2,1990,17,"MM","Saxifraga rhomboidea"
"TRPAP",2,1990,17,"MM","Trifolium parryi ssp. parryi"
"KOMY",3,1995,17,"MM","Kobresia myosuroides"
"MIOB2",3,1995,17,"MM","Minuartia obtusiloba"
"FEBR",4,1997,17,"MM","Festuca brachyphylla"
"STLO2",4,1997,17,"MM","Stellaria longipes"
"CAOC4",4,1997,17,"MM","Castilleja occidentalis"
"CASCS2",4,1997,17,"MM","Carex scopulorum var. scopulorum"
"RAAD",4,1997,17,"MM","Ranunculus adoneus"
"LUSP4",4,1997,17,"MM","Luzula spicata"
"POAL2",4,1997,17,"MM","Poa alpina"
"SIPR",4,1997,17,"MM","Sibbaldia procumbens"
"POVI3",4,1997,17,"MM","Polygonum viviparum"
NA,5,2006,17,"MM",NA
"LLSE",6,2008,17,"MM","Lloydia serotina"
"LEPY2",6,2008,17,"MM","Lewisia pygmaea"
NA,7,2010,17,"MM",NA
"CEARS2",8,2011,17,"MM","Cerastium arvense ssp. strictum"
"CAPH2",8,2011,17,"MM","Carex phaeocephala"
"SELA",9,2012,17,"MM","Sedum lanceolatum"
"TRSP2",10,2013,17,"MM","Trisetum spicatum"
"CAHA6",11,2014,17,"MM","Carex haydeniana"
NA,12,2015,17,"MM",NA
NA,13,2016,17,"MM",NA
"CASCS2",2,1990,18,"DM","Carex scopulorum var. scopulorum"
"POBI6",2,1990,18,"DM","Polygonum bistortoides"
"CAUN2",3,1995,18,"DM","Campanula uniflora"
NA,4,1997,18,"DM",NA
"FEBR",5,2006,18,"DM","Festuca brachyphylla"
"MIOB2",5,2006,18,"DM","Minuartia obtusiloba"
"ERSI3",5,2006,18,"DM","Erigeron simplex"
"STLO2",5,2006,18,"DM","Stellaria longipes"
NA,6,2008,18,"DM",NA
"SELA",7,2010,18,"DM","Sedum lanceolatum"
"LUSP4",7,2010,18,"DM","Luzula spicata"
"NOMO2",8,2011,18,"DM","Noccaea montana"
NA,9,2012,18,"DM",NA
NA,10,2013,18,"DM",NA
"POARG",11,2014,18,"DM","Poa arctica ssp. grayana"
"CEARS2",12,2015,18,"DM","Cerastium arvense ssp. strictum"
"ARSC",13,2016,18,"DM","Artemisia scopulorum"
"SELA",2,1990,19,"FF","Sedum lanceolatum"
"CAPU",2,1990,19,"FF","Calamagrostis purpurascens"
"RHRH4",3,1995,19,"FF","Rhodiola rhodantha"
"LLSE",3,1995,19,"FF","Lloydia serotina"
"TRPAP",3,1995,19,"FF","Trifolium parryi ssp. parryi"
NA,4,1997,19,"FF",NA
"CARO2",5,2006,19,"FF","Campanula rotundifolia"
"DRAU",5,2006,19,"FF","Draba aurea"
"ERNA",5,2006,19,"FF","Eritrichium nanum"
"ERSI3",6,2008,19,"FF","Erigeron simplex"
"PHPU5",6,2008,19,"FF","Phlox pulvinata"
NA,7,2010,19,"FF",NA
NA,8,2011,19,"FF",NA
"ERPI6",9,2012,19,"FF","Erigeron pinnatisectus"
"TOPY",9,2012,19,"FF","Tonestus pygmaeus"
"LUSP4",9,2012,19,"FF","Luzula spicata"
NA,10,2013,19,"FF",NA
"PAPU2",11,2014,19,"FF","Paronychia pulvinata"
NA,12,2015,19,"FF",NA
NA,13,2016,19,"FF",NA
"PHPU5",2,1990,20,"FF","Phlox pulvinata"
"MELA3",2,1990,20,"FF","Mertensia lanceolata"
"LUSP4",2,1990,20,"FF","Luzula spicata"
NA,3,1995,20,"FF",NA
"ERNA",4,1997,20,"FF","Eritrichium nanum"
"LLSE",5,2006,20,"FF","Lloydia serotina"
"ERPI6",5,2006,20,"FF","Erigeron pinnatisectus"
"TOPY",6,2008,20,"FF","Tonestus pygmaeus"
"SELA",6,2008,20,"FF","Sedum lanceolatum"
"NOMO2",7,2010,20,"FF","Noccaea montana"
"TEACC",8,2011,20,"FF","Tetraneuris acaulis var. caespitosa"
"DRAU",8,2011,20,"FF","Draba aurea"
"ORALA",8,2011,20,"FF","Oreoxis alpina ssp. alpina"
NA,9,2012,20,"FF",NA
"HEMO3",10,2013,20,"FF","Helictotrichon mortonianum"
NA,11,2014,20,"FF",NA
NA,12,2015,20,"FF",NA
NA,13,2016,20,"FF",NA
"ARFEF3",2,1990,201,"FF","Arenaria fendleri var. fendleri"
"ERPI6",2,1990,201,"FF","Erigeron pinnatisectus"
"TEGR3",3,1995,201,"FF","Tetraneuris grandiflora"
"ERNA",3,1995,201,"FF","Eritrichium nanum"
"KOMY",4,1997,201,"FF","Kobresia myosuroides"
"ERSI3",4,1997,201,"FF","Erigeron simplex"
"NOMO2",4,1997,201,"FF","Noccaea montana"
"SELA",4,1997,201,"FF","Sedum lanceolatum"
"CARO2",5,2006,201,"FF","Campanula rotundifolia"
"ALGE",5,2006,201,"FF","Allium geyeri"
"TOPY",6,2008,201,"FF","Tonestus pygmaeus"
"DRAU",7,2010,201,"FF","Draba aurea"
NA,8,2011,201,"FF",NA
"ARPA18",9,2012,201,"FF","Artemisia pattersonii"
"DRST4",10,2013,201,"FF","Draba streptocarpa"
NA,11,2014,201,"FF",NA
NA,12,2015,201,"FF",NA
NA,13,2016,201,"FF",NA
NA,2,1990,21,"SB",NA
"ERSI3",3,1995,21,"SB","Erigeron simplex"
"FEBR",3,1995,21,"SB","Festuca brachyphylla"
"CAPU",4,1997,21,"SB","Calamagrostis purpurascens"
"POARG",5,2006,21,"SB","Poa arctica ssp. grayana"
"ARFEF3",5,2006,21,"SB","Arenaria fendleri var. fendleri"
"TRSP2",5,2006,21,"SB","Trisetum spicatum"
NA,6,2008,21,"SB",NA
"LUSP4",7,2010,21,"SB","Luzula spicata"
NA,8,2011,21,"SB",NA
NA,9,2012,21,"SB",NA
"CHJA",10,2013,21,"SB","Chionophila jamesii"
NA,11,2014,21,"SB",NA
NA,12,2015,21,"SB",NA
NA,13,2016,21,"SB",NA
NA,2,1990,22,"MM",NA
"POBI6",3,1995,22,"MM","Polygonum bistortoides"
NA,4,1997,22,"MM",NA
"RAAD",5,2006,22,"MM","Ranunculus adoneus"
"ERSI3",6,2008,22,"MM","Erigeron simplex"
"CAOC4",7,2010,22,"MM","Castilleja occidentalis"
NA,8,2011,22,"MM",NA
NA,9,2012,22,"MM",NA
"FEBR",10,2013,22,"MM","Festuca brachyphylla"
NA,11,2014,22,"MM",NA
NA,12,2015,22,"MM",NA
NA,13,2016,22,"MM",NA
"CAOC4",2,1990,23,"SB","Castilleja occidentalis"
"LEPY2",2,1990,23,"SB","Lewisia pygmaea"
"POARG",3,1995,23,"SB","Poa arctica ssp. grayana"
NA,4,1997,23,"SB",NA
"RAAD",5,2006,23,"SB","Ranunculus adoneus"
"FEBR",5,2006,23,"SB","Festuca brachyphylla"
"TRSP2",6,2008,23,"SB","Trisetum spicatum"
NA,7,2010,23,"SB",NA
NA,8,2011,23,"SB",NA
NA,9,2012,23,"SB",NA
NA,10,2013,23,"SB",NA
NA,11,2014,23,"SB",NA
NA,12,2015,23,"SB",NA
"ERSI3",13,2016,23,"SB","Erigeron simplex"
NA,2,1990,24,"SB",NA
NA,3,1995,24,"SB",NA
NA,4,1997,24,"SB",NA
"ARSC",5,2006,24,"SB","Artemisia scopulorum"
"DECE",5,2006,24,"SB","Deschampsia cespitosa"
"ERSI3",5,2006,24,"SB","Erigeron simplex"
"CHJA",5,2006,24,"SB","Chionophila jamesii"
NA,6,2008,24,"SB",NA
"POARG",7,2010,24,"SB","Poa arctica ssp. grayana"
NA,8,2011,24,"SB",NA
NA,9,2012,24,"SB",NA
"TRSP2",10,2013,24,"SB","Trisetum spicatum"
NA,11,2014,24,"SB",NA
NA,12,2015,24,"SB",NA
NA,13,2016,24,"SB",NA
NA,2,1990,25,"MM",NA
"MIOB2",3,1995,25,"MM","Minuartia obtusiloba"
"POVI3",4,1997,25,"MM","Polygonum viviparum"
"ARFEF3",5,2006,25,"MM","Arenaria fendleri var. fendleri"
"GEAL2",6,2008,25,"MM","Gentiana algida"
"LUSP4",7,2010,25,"MM","Luzula spicata"
"STLO2",7,2010,25,"MM","Stellaria longipes"
NA,8,2011,25,"MM",NA
NA,9,2012,25,"MM",NA
"TRSP2",10,2013,25,"MM","Trisetum spicatum"
NA,11,2014,25,"MM",NA
NA,12,2015,25,"MM",NA
NA,13,2016,25,"MM",NA
NA,2,1990,26,"MM",NA
"KOMY",3,1995,26,"MM","Kobresia myosuroides"
"CHJA",3,1995,26,"MM","Chionophila jamesii"
"FEBR",4,1997,26,"MM","Festuca brachyphylla"
"CASCS2",4,1997,26,"MM","Carex scopulorum var. scopulorum"
NA,5,2006,26,"MM",NA
"MIOB2",6,2008,26,"MM","Minuartia obtusiloba"
NA,7,2010,26,"MM",NA
NA,8,2011,26,"MM",NA
NA,9,2012,26,"MM",NA
"LLSE",10,2013,26,"MM","Lloydia serotina"
"STLO2",11,2014,26,"MM","Stellaria longipes"
"GEAMA",12,2015,26,"MM","Gentianella amarella ssp. acuta"
NA,13,2016,26,"MM",NA
"SELA",2,1990,27,"MM","Sedum lanceolatum"
"GEAL2",2,1990,27,"MM","Gentiana algida"
"ERSI3",2,1990,27,"MM","Erigeron simplex"
"LLSE",3,1995,27,"MM","Lloydia serotina"
"POVI3",3,1995,27,"MM","Polygonum viviparum"
"TRPAP",4,1997,27,"MM","Trifolium parryi ssp. parryi"
"CAOC4",4,1997,27,"MM","Castilleja occidentalis"
NA,5,2006,27,"MM",NA
"POARG",6,2008,27,"MM","Poa arctica ssp. grayana"
"STLO2",6,2008,27,"MM","Stellaria longipes"
"MIOB2",6,2008,27,"MM","Minuartia obtusiloba"
"TRSP2",7,2010,27,"MM","Trisetum spicatum"
NA,8,2011,27,"MM",NA
"SIPR",9,2012,27,"MM","Sibbaldia procumbens"
"PHPU5",10,2013,27,"MM","Phlox pulvinata"
"CAHA6",11,2014,27,"MM","Carex haydeniana"
NA,12,2015,27,"MM",NA
NA,13,2016,27,"MM",NA
"CASCS2",2,1990,28,"SF","Carex scopulorum var. scopulorum"
"GEROT",2,1990,28,"SF","Geum rossii var. turbinatum"
"POVI3",3,1995,28,"SF","Polygonum viviparum"
"FEBR",3,1995,28,"SF","Festuca brachyphylla"
"TRSP2",3,1995,28,"SF","Trisetum spicatum"
"ARSC",4,1997,28,"SF","Artemisia scopulorum"
"NOMO2",4,1997,28,"SF","Noccaea montana"
"STLO2",4,1997,28,"SF","Stellaria longipes"
"POARG",4,1997,28,"SF","Poa arctica ssp. grayana"
"TRPAP",4,1997,28,"SF","Trifolium parryi ssp. parryi"
"ERSI3",5,2006,28,"SF","Erigeron simplex"
"CEARS2",5,2006,28,"SF","Cerastium arvense ssp. strictum"
"SARH2",6,2008,28,"SF","Saxifraga rhomboidea"
"LLSE",6,2008,28,"SF","Lloydia serotina"
"MIOB2",7,2010,28,"SF","Minuartia obtusiloba"
NA,8,2011,28,"SF",NA
NA,9,2012,28,"SF",NA
NA,10,2013,28,"SF",NA
NA,11,2014,28,"SF",NA
NA,12,2015,28,"SF",NA
NA,13,2016,28,"SF",NA
"ARFEF3",2,1990,29,"FF","Arenaria fendleri var. fendleri"
"KOMY",3,1995,29,"FF","Kobresia myosuroides"
"CAOC4",3,1995,29,"FF","Castilleja occidentalis"
"SELA",3,1995,29,"FF","Sedum lanceolatum"
"LLSE",4,1997,29,"FF","Lloydia serotina"
"CALE4",4,1997,29,"FF","Caltha leptosepala"
"NOMO2",4,1997,29,"FF","Noccaea montana"
"TEACC",5,2006,29,"FF","Tetraneuris acaulis var. caespitosa"
"CEARS2",5,2006,29,"FF","Cerastium arvense ssp. strictum"
"CARO2",5,2006,29,"FF","Campanula rotundifolia"
"ALGE",5,2006,29,"FF","Allium geyeri"
